Simulation,Simulation Mean
1,4.025544993591556
2,3.9455688857687834
3,4.000747937888259
4,4.004021282454255
5,3.9831076856929553
6,4.00645820811186
7,3.9665481802769995
8,3.9806167233813197
9,3.9722644771729234
10,4.0194106332513195

Metric,Value
Overall Mean,3.990428900759023
Standard Deviation,0.025130304659533354
Upper Bound,4.0155592054185565
Lower Bound,3.9652985960994895
