Simulation,Simulation Mean
1,6.710257686658844
2,6.88060692800227
3,6.69875199816083
4,6.775154928532787
5,6.816808093070632
6,6.634347403605899
7,6.794815124468584
8,6.786201670052359
9,6.732991404053046
10,6.851375427779189

Metric,Value
Overall Mean,6.768131066438443
Standard Deviation,0.0747837355115752
Upper Bound,6.842914801950018
Lower Bound,6.693347330926867
